sku,_category,name,country_of_manufacture,description,short_description,price,image,small_image,_media_image,_root_category,_store,_type,_attribute_set,_product_websites,color,cost,created_at,has_options,msrp,msrp_display_actual_price_type,msrp_enabled,options_container,required_options,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,vip_privce,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,use_config_manage_stock,use_config_qty_increments,_media_position,use_config_enable_qty_inc,manage_stock,stock_status_changed_auto,qty_increments,_media_is_disabled,enable_qty_increments,is_decimal_divided,_media_attribute_id,_media_lable,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
20275,世界名表/康斯登 Frederique Constant,Frederique onstant slim line FC-245M4S6 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-245M4S6

所属品牌: 康斯登 Frederique Constant

所属系列: SLIM LINE DATE

品牌产地: 瑞士 ","3,525.38",/50_1_FC-245M4S6.jpg,/50_1_FC-245M4S6.jpg,/50_1_FC-245M4S6.jpg,Accessories,,simple,Default,base,,,2014-3-8 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/50_1_FC-245M4S6.jpg,2014-05-11 03:37:13,83938-sy-db-1031,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20276,世界名表/康斯登 Frederique Constant,康斯登 超薄 FC-245M4S5 ,德国,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 超薄 FC-245M4S5

所属品牌: 康斯登 Frederique Constant

所属系列: 超薄系列

品牌产地: 德国 ","4,016.25",/FC-245M4S5.jpg,/FC-245M4S5.jpg,/FC-245M4S5.jpg,Accessories,,simple,Default,base,,,2014-3-9 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-245M4S5.jpg,2014-05-12 03:37:13,83938-sy-db-1030,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20277,世界名表/康斯登 Frederique Constant,康斯登 征服者 FC-265MS3C26 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-265BS3C26

所属品牌: 康斯登 Frederique Constant

所属系列: 征服者系列

品牌产地: 瑞士 ","4,417.88",/FC-265BS3C26_1.jpg,/FC-265BS3C26_1.jpg,/FC-265BS3C26_1.jpg,Accessories,,simple,Default,base,,,2014-3-10 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-265BS3C26_1.jpg,2014-05-13 03:37:13,83938-sy-db-1029,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20278,世界名表/康斯登 Frederique Constant,康斯登 装饰艺术 FC-235M1T26B ,德国,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-235M1T26B

所属品牌: 康斯登 Frederique Constant

所属系列: 装饰艺术系列

品牌产地: 瑞士 ","4,596.38",/316_1_FC-235M1T26B.jpg,/316_1_FC-235M1T26B.jpg,/316_1_FC-235M1T26B.jpg,Accessories,,simple,Default,base,,,2014-3-11 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/316_1_FC-235M1T26B.jpg,2014-05-14 03:37:13,83938-sy-db-1028,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20279,世界名表/康斯登 Frederique Constant,康斯登 古典 FC-235MS5B ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 古典 FC-235MS5B

所属品牌: 康斯登 Frederique Constant

所属系列: 古典系列

品牌产地: 德国 ","4,908.75",/FC-235MS5B_1.jpg,/FC-235MS5B_1.jpg,/FC-235MS5B_1.jpg,Accessories,,simple,Default,base,,,2014-3-12 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-235MS5B_1.jpg,2014-05-15 03:37:13,83938-sy-db-1027,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20280,世界名表/康斯登 Frederique Constant,康斯登 征服者 FC-265BS3C24 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-265BS3C24

所属品牌: 康斯登 Frederique Constant

所属系列: 征服者系列

品牌产地: 瑞士 ","5,310.38",/FC-265BS3C24_1.jpg,/FC-265BS3C24_1.jpg,/FC-265BS3C24_1.jpg,Accessories,,simple,Default,base,,,2014-3-13 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-265BS3C24_1.jpg,2014-05-16 03:37:13,83938-sy-db-1026,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20281,世界名表/康斯登 Frederique Constant,康斯登 超薄 FC-245M4S5B ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-245M4S5B

所属品牌: 康斯登 Frederique Constant

所属系列: 超薄系列

品牌产地: 瑞士 ","5,801.25",/FC-245M4S5B_1.jpg,/FC-245M4S5B_1.jpg,/FC-245M4S5B_1.jpg,Accessories,,simple,Default,base,,,2014-3-14 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-245M4S5B_1.jpg,2014-05-17 03:37:13,83938-sy-db-1025,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20282,世界名表/康斯登 Frederique Constant,康斯登 装饰艺术 FC-292M4T25 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-292M4T25

所属品牌: 康斯登 Frederique Constant

所属系列: 装饰艺术系列

品牌产地: 瑞士","6,202.88",/70_1_FC-292M4T25.jpg,/70_1_FC-292M4T25.jpg,/70_1_FC-292M4T25.jpg,Accessories,,simple,Default,base,,,2014-3-15 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/70_1_FC-292M4T25.jpg,2014-05-18 03:37:13,83938-sy-db-1024,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20283,世界名表/康斯登 Frederique Constant,康斯登 开心 FC-220M2ER4B,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-220M2ER4B

所属品牌: 康斯登 Frederique Constant

所属系列: 开心系列

品牌产地: 瑞士 ","6,916.88",/FC-220M2ER4B_2.jpg,/FC-220M2ER4B_2.jpg,/FC-220M2ER4B_2.jpg,Accessories,,simple,Default,base,,,2014-3-16 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-220M2ER4B_2.jpg,2014-05-19 03:37:13,83938-sy-db-1023,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20284,世界名表/康斯登 Frederique Constant,康斯登 Carree FC-310MC4C26,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-310MC4C26

所属品牌: 康斯登 Frederique Constant

所属系列: Carree系列

品牌产地: 瑞士 ","7,095.38",/FC-310MC4C26_1.jpg,/FC-310MC4C26_1.jpg,/FC-310MC4C26_1.jpg,Accessories,,simple,Default,base,,,2014-3-17 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-310MC4C26_1.jpg,2014-05-20 03:37:13,83938-sy-db-1022,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20285,世界名表/康斯登 Frederique Constant,康斯登 Clear Vision Automatic FC-303C6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303C6B4

所属品牌: 康斯登 Frederique Constant

所属系列: Clear Vision Automatic 系列

品牌产地: 瑞士","7,363.13",/FC-303C6B4_1.jpg,/FC-303C6B4_1.jpg,/FC-303C6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-18 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303C6B4_1.jpg,2014-05-21 03:37:13,83938-sy-db-1021,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20286,世界名表/康斯登 Frederique Constant,康斯登 Carree FC-303MC4C24,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303MC4C24

所属品牌: 康斯登 Frederique Constant

所属系列: Carree系列

品牌产地: 瑞士 ","7,363.13",/FC-303MC4C24_1.jpg,/FC-303MC4C24_1.jpg,/FC-303MC4C24_1.jpg,Accessories,,simple,Default,base,,,2014-3-19 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303MC4C24_1.jpg,2014-05-22 03:37:13,83938-sy-db-1020,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20287,世界名表/康斯登 Frederique Constant,康斯登 Carree FC-310MC4C25 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-310MC4C25

所属品牌: 康斯登 Frederique Constant

所属系列: Carree系列

品牌产地: 瑞士 ","7,987.88",/FC-310MC4C25_1.jpg,/FC-310MC4C25_1.jpg,/FC-310MC4C25_1.jpg,Accessories,,simple,Default,base,,,2014-3-20 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-310MC4C25_1.jpg,2014-05-23 03:37:13,83938-sy-db-1019,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20288,世界名表/康斯登 Frederique Constant,康斯登 希利机械 FC-303HB6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 希利机械 FC-303HB6B4

所属品牌: 康斯登 Frederique Constant

所属系列: 希利机械系列

品牌产地: 瑞士 ","9,772.88",/FC-303HB6B4_1.jpg,/FC-303HB6B4_1.jpg,/FC-303HB6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-21 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303HB6B4_1.jpg,2014-05-24 03:37:13,83938-sy-db-1018,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20289,世界名表/康斯登 Frederique Constant,康斯登 希利机械 FC-303HS6B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-303HS6B4

所属品牌: 康斯登 Frederique Constant

所属系列: 希利机械系列

品牌产地: 瑞士 ","9,772.88",/FC-303HS6B4_1.jpg,/FC-303HS6B4_1.jpg,/FC-303HS6B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-22 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-303HS6B4_1.jpg,2014-05-25 03:37:13,83938-sy-db-1017,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20290,世界名表/康斯登 Frederique Constant,康斯登 古典 FC-393M6B6 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 古典 FC-393M6B6

所属品牌: 康斯登 Frederique Constant

所属系列: 古典系列

品牌产地: 瑞士 ","12,941.25",/FC-393MC6B6-big.jpg,/FC-393MC6B6-big.jpg,/FC-393MC6B6-big.jpg,Accessories,,simple,Default,base,,,2014-3-23 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-393MC6B6-big.jpg,2014-05-26 03:37:13,83938-sy-db-1016,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20291,世界名表/康斯登 Frederique Constant,康斯登 古典 FC-392V5B4 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: 康斯登 古典 FC-392V5B4

所属品牌: 康斯登 Frederique Constant

所属系列: 古典系列

品牌产地: 瑞士 ","13,833.75",/FC-392V5B4_1.jpg,/FC-392V5B4_1.jpg,/FC-392V5B4_1.jpg,Accessories,,simple,Default,base,,,2014-3-24 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-392V5B4_1.jpg,2014-05-27 03:37:13,83938-sy-db-1015,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
20292,世界名表/康斯登 Frederique Constant,康斯登 心跳 FC-935MC4H9 ,瑞士,康斯登的理念是提供钟表爱好者优美而富价值性的高质量手表，让消费者能以合理的价位拥有更多的选择。它更主张手表的发展应符合消费者的喜好趋向，受到广大消费者的喜爱。," 商品型号: FC-935MC4H9

所属品牌: 康斯登 Frederique Constant

所属系列: 心跳系列

品牌产地: 瑞士 ","78,093.75",/FC-935MC4H9.jpg,/FC-935MC4H9.jpg,/FC-935MC4H9.jpg,Accessories,,simple,Default,base,,,2014-3-25 03:25:11,0,804.5,用户配置,用户配置,信息栏之后阻止,0,1,4,,/FC-935MC4H9.jpg,2014-05-28 03:37:13,83938-sy-db-1014,83938-sy-db-1099.html,,4,120,99,0,1,0,0,1,1,1,0,1,1,,1,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,0,0,0,0,0,0,88,,,,,,,,,,,,,,,,,,,,,,,,,,